Sentence,Length
free entry in  a wkly comp to win fa cup final tkts st may  text fa to  to receive entry questionstd txt ratetcs apply overs,124
freemsg hey there darling its been  weeks now and no word back id like some fun you up for it still tb ok xxx std chgs to send еј to rcv,136
winner as a valued network customer you have been selected to receivea еј prize reward to claim call  claim code kl valid  hours only,133
had your mobile  months or more u r entitled to update to the latest colour mobiles with camera for free call the mobile update co free on ,139
six chances to win cash from  to  pounds txt csh and send to  cost pday days  tsandcs apply reply hl  info,106
urgent you have won a  week free membership in our еј prize jackpot txt the word claim to no  tc wwwdbuknet lccltd pobox ldnwarw,128
xxxmobilemovieclub to use your credit click the wap link in the next txt message or click here httpwap xxxmobilemovieclubcomnqjkgighjjgcbl,138
england v macedonia  dont miss the goalsteam news txt ur national team to  eg england to  trywales scotland txtмј poboxoxwwq ,125
thanks for your subscription to ringtone uk your mobile will be charged ејmonth please confirm by replying yes or no if you reply no you will not be charged,156
  rodger burns  msg  we tried to call you re your reply to our sms for a free nokia mobile  free camcorder please call now  for delivery tomorrow,145
sms ac sptv the new jersey devils and the detroit red wings play ice hockey correct or incorrect end reply end sptv,115
congrats  year special cinema pass for  is yours call  now c suprman v matrix starwars etc all  free bxipwe pm dont miss out ,125
as a valued customer i am pleased to advise you that following recent review of your mob no you are awarded with a еј bonus prize call ,135
urgent ur awarded a complimentary trip to eurodisinc trav acoentry or еј to claim txt dis to  ејmorefrmmob shracomorsglsuplt ls aj,130
did you hear about the new divorce barbie it comes with all of kens stuff,73
please call our customer service representative on    between ampm as you have won a guaranteed еј cash or еј prize,115
your free ringtone is waiting to be collected simply text the password mix to  to verify get usher and britney fml,114
gent we are trying to contact you last weekends draw shows that you won a еј prize guaranteed call  claim code k valid hrs only ppm,131
you are a winner u have been specially selected  receive еј or a  holiday flights inc speak to a live operator  claim pmin  ,124
private your  account statement for  shows  unredeemed bonus points to claim call  identifier code  expires,107
urgent your mobile no was awarded еј bonus caller prize on  this is our final try to contact u call from landline  boxwrc ppm,125
todays voda numbers ending  are selected to receive a  award if you have a match please call  quoting claim code  standard rates app,132
sunshine quiz wkly q win a top sony dvd player if u know which country the algarve is in txt ansr to  еј sptyrone,113
want  get laid tonight want real dogging locations sent direct  ur mob join the uks largest dogging network bt txting gravel to  nt eca pmsgp,141
youll not rcv any more msgs from the chat svc for free hardcore services text go to  if u get nothing u must age verify with yr network  try again,146
freemsg why havent you replied to my text im randy sexy female and live local luv to hear from u netcollex ltd p per msg reply stop to end,138
customer service annoncement you have a new years delivery waiting for you please call  now to arrange delivery,111
you are a winner u have been specially selected  receive еј cash or a  holiday flights inc speak to a live operator  claim ,123
pls stop bootydelious f is inviting you to be her friend reply yes or no see her wwwsmsacubootydelious stop send stop frnd to ,126
bangbabes ur order is on the way u should receive a service msg  download ur content if u do not goto wap bangb tv on ur mobile internetservice menu,148
urgent we are trying to contact you last weekends draw shows that you have won a еј prize guaranteed call  claim code s valid hrs only,134
please call our customer service representative on freephone    between ampm as you have won a guaranteed еј cash or еј prize,125
are you unique enough find out from th august wwwareyouuniquecouk,65
 new mobiles from  must go txt nokia to no   collect yours todayfrom only еј wwwtcbiz optout gbpmtmsg,101
will u meet ur dream partner soon is ur career off  a flyng start  find out free txt horo followed by ur star sign e g horo aries,129
text  meet someone sexy today u can find a date or even flirt its up to u join  just p reply with name  age eg sam   msg recdthirtyeight pence,142
u  have a secret admirer who is looking  make contact with ufind out who they rreveal who thinks ur so specialcall on ,118
congratulations ur awarded  of cd vouchers or gift guaranteed  free entry   wkly draw txt music to  tncs wwwldewcomwinppmxage,125
we tried to contact you re your reply to our offer of a video handset  anytime networks mins unlimited text camcorder reply or call  now,136
hey i am really horny want to chat or see me naked text hot to  text charged at pm to unsubscribe text stop ,108
ur ringtone service has changed  free credits go to clubmobilescom to choose content now stop txt club stop to  pwk club po box mk wt,133
ringtone club get the uk singles chart on your mobile each week and choose any top quality ringtone this message is free of charge,130
hmv bonus special  pounds of genuine hmv vouchers to be won just answer  easy questions play now send hmv to  more infowwwpercentrealcom,136
tmobile customer you may now claim your free camera phone upgrade  a pay  go sim card for your loyalty call on   offer ends thfebtcs apply,138
sms ac blind date u rodds is m from aberdeen united kingdom check him out httpimg sms acwicmbcktzr no blind dates send hide,123
themob check out our newest selection of content games tones gossip babes and sport keep your mobile fit and funky text wap to ,127
think ur smart  win еј this week in our weekly quiz text play to  nowtcs winnersclub po box  m uz  gbpweek,106
december only had your mobile mths you are entitled to update to the latest colour camera mobile for free call the mobile update co free on ,140
call germany for only  pence per minute call from a fixed line via access number     no prepayment direct access,112
valentines day special win over еј in our quiz and take your partner on the trip of a lifetime send go to  now pmsg rcvd custcare,129
fancy a shag i dointerested sextextukcom txt xxuk suzy to  txts cost  per msg tncs on website x,95
congratulations ur awarded  of cd vouchers or gift guaranteed  free entry   wkly draw txt music to  tncs wwwldewcomwinppmxage,125
ur cashbalance is currently  pounds  to maximize ur cashin now send cash to  only pmsg cc  hgsuitelands rowwjhl,111
updatenow  xmas offer latest motorola sonyericsson  nokia  free bluetooth double mins   txt on orange call mobileupd on  or calloptoutfq,136
here is your discount code rp to stop further messages reply stop wwwregalportfoliocouk customer services ,106
thanks for your ringtone order reference t you will be charged gbp  per week you can unsubscribe at anytime by calling customer services on ,140
double mins and txts  months free bluetooth on orange available on sony nokia motorola phones call mobileupd on  or calloptoutndx,129
mths half price orange line rental  latest camera phones  free had your phone mths  call mobilesdirect free on  to update now orstoptxt,135
free ringtone text first to  for a poly or text get to  for a true tone help    after st free tones are xејpw to eејnd txt stop,127
 dating service call  boxskch,29
free entry into our еј weekly competition just text the word win to  now  tc wwwtxttowincouk,92
send a logo  ur lover   names joined by a heart txt love name name mobno eg love adam eve  to  yahoo poboxwwq txtno  no ads p,125
someone has contacted our dating service and entered your phone because they fancy you to find out who it is call from a landline   poboxntfp,141
urgent your mobile number has been awarded with a еј prize guaranteed call  from land line claim  valid hrs only,112
congrats nokia  video camera phone is your call  calls cost ppm ave call mins vary from mobiles  close  post bcm ldn wcnxx,122
loan for any purpose еј  еј homeowners  tenants welcome have you been previously refused we can still help call free   or text back help,136
upgrdcentre orange customer you may now claim your free camera phone upgrade for your loyalty call now on    offer ends th july tcs apply optout available,154
okmail dear dave this is your final notice to collect your  tenerife holiday or  cash award call  from landline tcs sae box cwwx ppm,132
want  get laid tonight want real dogging locations sent direct  ur mob join the uks largest dogging network by txting moan to nyt eca pmsgp,139
free message activate your  free text messages by replying to this message with the word free for terms  conditions visit wwwcom,128
congrats  year special cinema pass for  is yours call  now c suprman v matrix starwars etc all  free bxipwe pm dont miss out,124
 congratulations  in this weeks competition draw u have won the еј prize to claim just call  b tcsstop sms  over  only ppm,122
you are guaranteed the latest nokia phone a gb ipod mp player or a еј prize txt word collect to no  ibhltd ldnwh pmtmsgrcvd,123
boltblue tones for p reply poly or mono eg poly  cha cha slide  yeah  slow jamz  toxic  come with me or stop  more tones txt more,129
your credits have been topped up for httpwwwbubbletextcom your renewal pin is tgxxrz,84
urgent your mobile no was awarded a еј bonus caller prize on  this is our nd attempt to contact you call  boxqu,111
todays offer claim ur еј worth of discount vouchers text yes to  now savamob member offers mobile t cs  еј sub   unsub reply x,126
you will recieve your tone within the next hrs for terms and conditions please see channel u teletext pg ,105
private your  account statement for  shows  unredeemed sim points call  identifier code  expires  ,98
from wwwapplausestorecom monthlysubscriptionpmsg maxmonth tcsc web age stop txt stop,84
gent we are trying to contact you last weekends draw shows that you won a еј prize guaranteed call  claim code k valid hrs only ppm ,132
you have won  cash or a  prize to claim call,44
our mobile number has won еј to claim calls us back or ring the claims hot line on ,83
we tried to contact you re your reply to our offer of  mins  textand a new video phone call  now or reply for free delivery tomorrow,132
for ur chance to win a еј wkly shopping spree txt shop to  tscs wwwtxtshopcom custcare  xpwk,92
you have been specially selected to receive a  pound award call  before the lines close cost ppm  tcs apply ag promo,116
private your  account statement for  shows  unredeemed s i m points call  identifier code  expires ,99
you have an important customer service announcement call freephone    now,73
xclusiveclubsaisai morow  soiree speciale zouk with nichols from parisfree roses  all ladies  info  ,100
 days to kick off for euro u will be kept up to date with the latest news and results daily to be removed send get txt stop to ,127
new textbuddy chat  horny guys in ur area  just p free  receive search postcode or at gaytextbuddycom txt one name to ,118
todays vodafone numbers ending with  are selected to a receive a еј award if your number matches call  to receive your еј award,127
dear voucher holder  claim this weeks offer at your pc go to httpwwwetlpcoukexpressoffer tscs apply stop texts txt stop to ,123
